ticker,textblob_correlation,textblob_pvalue,vader_correlation,vader_pvalue,sample_size,significant
ADBE,0.1059,0.0044,0.1826,0.0,721,Yes
ADI,0.0687,0.1356,0.2845,0.0,473,No
ADP,0.0906,0.0594,0.2618,0.0,434,No
ALGN,0.0122,0.826,0.1255,0.0234,326,No
AMAT,0.0864,0.1035,0.3922,0.0,356,No
ASML,0.1604,0.0014,0.4179,0.0,396,Yes
AVGO,0.0148,0.6979,0.1764,0.0,691,No
BIDU,0.1143,0.0004,0.1642,0.0,946,Yes
BIIB,0.0504,0.1534,0.1296,0.0002,805,No
CMCSA,0.0454,0.1962,0.086,0.0143,812,No
CSCO,0.0818,0.0984,0.2727,0.0,409,No
CTAS,-0.0141,0.8223,0.2078,0.0008,255,No
CTSH,0.076,0.1208,0.177,0.0003,418,No
DLTR,0.0286,0.4726,0.1101,0.0056,631,No
EA,0.0239,0.4618,0.0942,0.0037,948,No
EBAY,-0.0012,0.9681,0.0472,0.1226,1073,No
ENPH,0.1386,0.0161,0.1914,0.0008,301,Yes
FAST,0.1285,0.0444,0.2377,0.0002,245,Yes
FTNT,0.059,0.2105,0.093,0.048,453,No
GILD,0.0458,0.1116,0.0753,0.0088,1210,No
GOOG,0.0568,0.2877,0.1869,0.0004,352,No
GOOGL,0.0552,0.2564,0.1782,0.0002,424,No
ILMN,0.085,0.0449,0.0812,0.0555,557,Yes
INTU,0.058,0.1852,0.2324,0.0,524,No
JD,0.0389,0.3429,0.2102,0.0,596,No
KLAC,0.0726,0.1428,0.3003,0.0,409,No
LRCX,0.0768,0.1374,0.3897,0.0,376,No
MCHP,0.0593,0.2236,0.3051,0.0,423,No
MNST,0.0242,0.6073,0.0887,0.0586,455,No
MRVL,0.077,0.0438,0.2651,0.0,686,Yes
MU,0.1162,0.0001,0.2701,0.0,1139,Yes
NFLX,0.0494,0.1671,0.0944,0.0082,783,No
NTES,0.1099,0.0299,0.1904,0.0002,390,Yes
NVDA,0.1035,0.0005,0.2129,0.0,1125,Yes
NXPI,0.087,0.0275,0.1986,0.0,642,Yes
ORCL,0.0458,0.1566,0.1083,0.0008,959,No
ORLY,0.1859,0.0005,0.1554,0.0037,347,Yes
PANW,0.0845,0.0568,0.0447,0.3145,509,No
PAYX,0.0648,0.2509,0.2366,0.0,316,No
QCOM,0.0753,0.0105,0.1967,0.0,1152,Yes
REGN,0.0178,0.6337,0.0417,0.2641,718,No
SBUX,0.094,0.1164,0.2128,0.0003,280,No
SIRI,0.074,0.0515,0.1241,0.0011,693,No
TSLA,0.0827,0.2115,0.1629,0.0134,230,No
TXN,0.0387,0.292,0.2351,0.0,742,No
VRTX,0.0284,0.4603,0.0756,0.0491,678,No
WDAY,0.0812,0.11,0.2109,0.0,389,No
