date,ticker,daily_article_count,avg_textblob_score,avg_vader_score,avg_finbert_confidence
2026-05-20,GOOG,4,0.0045454545454545435,0.02754999999999999,0.76735
2026-05-21,AVGO,5,0.2545454545454545,0.21918,0.84508
2026-05-21,GOOG,2,0.05,-0.31245,0.8919999999999999
2026-05-21,GOOGL,5,0.07727272727272727,0.20356000000000002,0.8837400000000001
2026-05-21,TSLA,4,0.10551948051948051,-0.130175,0.912825
2026-05-22,AAPL,5,0.19927272727272727,0.35448,0.79428
2026-05-22,AVGO,3,0.1388888888888889,-0.08313333333333332,0.9336666666666668
2026-05-22,GOOG,1,-0.1,-0.3182,0.5315
2026-05-22,GOOGL,1,0.13636363636363635,0.296,0.8693
2026-05-22,MSFT,1,0.09999999999999999,0.7506,0.5797
2026-05-22,NVDA,1,0.0,-0.4648,0.9358
2026-05-22,TSLA,2,0.06818181818181818,-0.10730000000000003,0.8662
2026-05-23,AAPL,5,0.0,0.013000000000000012,0.90724
2026-05-23,AVGO,2,0.29642857142857143,0.2787,0.6395500000000001
2026-05-23,GOOG,2,0.5,0.29265,0.7773
2026-05-23,GOOGL,4,0.1198051948051948,-0.016524999999999984,0.682525
2026-05-23,MSFT,8,0.03906926406926407,-0.008262499999999992,0.7984875
2026-05-23,NVDA,8,0.0625,0.03126250000000001,0.9032625
2026-05-23,TSLA,3,0.21428571428571427,0.021666666666666685,0.8811
2026-05-24,AMZN,10,0.0,-0.034,0.93394
2026-05-24,COST,10,0.08,-0.017859999999999997,0.81336
2026-05-24,GOOG,1,0.45,0.0,0.9279
2026-05-24,META,10,0.07642857142857143,0.05394,0.80901
2026-05-24,MSFT,1,0.58,0.6369,0.781
2026-05-24,NVDA,1,0.0,0.0,0.9035
2026-05-24,TSLA,1,0.0,0.0,0.9035
